source,target,original_size,new_size,before_dimensions,after_dimensions
"assets/images/alan-Decker.jpg","assets/media/pages/alan-decker.jpg","785214","785214","800x800","800x800"
"assets/images/alan-decker.jpg","assets/media/pages/alan-decker.jpg","785214","785214","800x800","800x800"
"assets/images/apple-touch-icon.png","assets/media/site/apple-touch-icon.png","26213","26213","180x180","180x180"
"assets/images/aquascape-pool16.jpg","assets/media/pages/aquascape-pool16.jpg","202195","202195","1200x799","1200x799"
"assets/images/aquascape-team.jpg","assets/media/pages/aquascape-team.jpg","1099595","1033038","800x800","2000x2000"
"assets/images/aquascape.png","assets/media/suppliers/aquascape.png","9026","9026","500x500","500x500"
"assets/images/background-texture-leafs.jpg","assets/media/site/background-texture-leafs.jpg","479080","479080","2048x2048","2048x2048"
"assets/images/blog/18.png","assets/media/articles/18.jpg","1341983","241587","1001x667","1001x667"
"assets/images/blog/19.png","assets/media/articles/19.jpg","1150959","170638","1001x668","1001x668"
"assets/images/blog/Blog-Golf-Header-Image.png","assets/media/articles/blog-golf-header-image.jpg","1308180","236470","1000x667","1000x667"
"assets/images/blog/aquabasin-pump-fountain.jpg","assets/media/articles/aquabasin-pump-fountain.jpg","1419345","910409","1200x800","2000x1333"
"assets/images/blog/blog-list-background.jpg","assets/media/articles/blog-list-background.jpg","294989","294989","1200x800","1200x800"
"assets/images/blog/blog-post-5-problems-with-a-natural-pool.jpg","assets/media/articles/blog-post-5-problems-with-a-natural-pool.jpg","316470","316470","1200x800","1200x800"
"assets/images/blog/blog-post-creating-harmony.jpg","assets/media/articles/blog-post-creating-harmony.jpg","1371920","922229","1216x811","2000x1334"
"assets/images/blog/blog-post-how-to-manage-algie.jpg","assets/media/articles/blog-post-how-to-manage-algie.jpg","202251","202251","1200x800","1200x800"
"assets/images/blog/blog-post-how-water-is-filtered.jpg","assets/media/articles/blog-post-how-water-is-filtered.jpg","325145","325145","1200x800","1200x800"
"assets/images/blog/blog-post-mood-image-1.jpg","assets/media/articles/blog-post-mood-image-1.jpg","204329","204329","1200x696","1200x696"
"assets/images/blog/blog-post-pool-conversion.jpg","assets/media/articles/blog-post-pool-conversion.jpg","1279001","970743","1159x752","2000x1297"
"assets/images/blog/blog-post-the-difference-between-natural-pool-and-traditional-pool.jpg","assets/media/articles/blog-post-the-difference-between-natural-pool-and-traditional-pool.jpg","434832","434832","1200x800","1200x800"
"assets/images/blog/blog-post-water-storage-solutions.jpg","assets/media/articles/blog-post-water-storage-solutions.jpg","487819","487819","1200x800","1200x800"
